profit,params,group
10395.464000000013,4239_4239,1
10392.084000000012,4240_4240,1
10376.837000000012,4241_4241,1
10374.857000000016,4242_4242,1
10368.497000000014,4243_4243,1
10368.567000000014,4244_4244,1
10366.877000000017,4245_4245,1
10368.627000000017,4246_4246,1
10370.207000000017,4247_4247,1
10367.637000000012,4248_4248,1
10381.554000000016,4249_4249,1
10390.204000000014,4250_4250,1
10393.234000000011,4251_4251,1
10390.574000000011,4252_4252,1
10389.624000000014,4253_4253,1
10387.414000000012,4254_4254,1
10389.624000000014,4255_4255,1
10385.214000000014,4256_4256,1
10384.304000000016,4257_4257,1
10387.324000000011,4258_4258,1
10389.574000000011,4259_4259,1
10391.924000000014,4260_4260,1
10388.014000000014,4261_4261,1
10383.494000000015,4262_4262,1
10387.324000000017,4263_4263,1
10393.014000000014,4264_4264,1
10400.974000000017,4265_4265,1
10397.324000000017,4266_4266,1
10395.054000000016,4267_4267,1
10391.764000000014,4268_4268,1
10393.084000000012,4269_4269,1
10388.544000000013,4270_4270,1
10385.124000000014,4271_4271,1
10382.744000000012,4272_4272,1
10374.564000000011,4273_4273,1
10377.944000000014,4274_4274,1
10375.784000000014,4275_4275,1
10378.274000000014,4276_4276,1
10377.034000000014,4277_4277,1
10379.544000000014,4278_4278,1
10382.924000000015,4279_4279,1
10354.974000000017,4280_4280,1
10343.814000000017,4281_4281,1
10344.144000000017,4282_4282,1
10351.754000000015,4283_4283,1
10352.354000000016,4284_4284,1
10357.554000000016,4285_4285,1
10350.584000000015,4286_4286,1
10347.674000000015,4287_4287,1
10349.274000000018,4288_4288,1
10365.994000000015,4289_4289,1
10365.594000000016,4290_4290,1
10381.641000000018,4291_4291,1
10379.831000000018,4292_4292,1
10378.251000000018,4293_4293,1
10371.894000000018,4294_4294,1
10365.32400000002,4295_4295,1
10355.314000000018,4296_4296,1
10355.24400000002,4297_4297,1
10357.724000000018,4298_4298,1
10364.774000000018,4299_4299,1
10365.874000000018,4300_4300,1
10365.354000000018,4301_4301,1
10368.024000000018,4302_4302,1
10363.884000000018,4303_4303,1
10367.48400000002,4304_4304,1
10361.704000000018,4305_4305,1
10360.294000000018,4306_4306,1
10360.161000000018,4307_4307,1
10363.02100000002,4308_4308,1
10356.921000000018,4309_4309,1
10358.051000000018,4310_4310,1
10363.731000000018,4311_4311,1
10359.481000000018,4312_4312,1
10345.87100000002,4313_4313,1
10347.481000000018,4314_4314,1
10347.85100000002,4315_4315,1
10349.531000000015,4316_4316,1
10348.45100000002,4317_4317,1
10354.671000000018,4318_4318,1
10354.10100000002,4319_4319,1
10354.86100000002,4320_4320,1
10352.561000000018,4321_4321,1
10347.711000000018,4322_4322,1
10348.961000000018,4323_4323,1
10346.061000000018,4324_4324,1
10353.161000000018,4325_4325,1
10348.301000000018,4326_4326,1
10354.781000000015,4327_4327,1
10353.081000000018,4328_4328,1
10353.911000000018,4329_4329,1
10353.361000000015,4330_4330,1
10352.411000000018,4331_4331,1
10354.301000000018,4332_4332,1
10354.351000000015,4333_4333,1
10356.321000000016,4334_4334,1
10360.431000000017,4335_4335,1
10367.331000000017,4336_4336,1
10363.121000000016,4337_4337,1
10368.171000000017,4338_4338,1
